EncuestaID,FechaEncuesta,HoraEncuesta,RangoEdad,Genero,Departamento,Municipio,Ocupacion,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,SnacksSeleccionados,SaborPreferido,PresentacionPreferida,PrecioAdecuado,PagaMasEdicionMundial,PlaneaVerMundial2026,SeleccionApoya,CompraDisenoSeleccion,SeleccionInfluyeCompra,JugadoresInfluyentes,TipoPublicidadAtractiva,PromocionPreferida,CompraTarjetasColeccionables,CampaniaMasProbableCompra,Disposicion_Gasto_Premium,Segmento_Lealtad_Mundial,Segmento_Edad_Analitico
1354,2026-03-10,07:29:49,55 Años O Más,Masculino,Escuintla,Escuintla,Empleado Privado,3 A 5 Veces Por Semana,Supermercado,Compañeros de trabajo,Q51 - Q100,FutbolMix,Caramelo,Familiar,Más De Q30,Sí,Sí,Colombia,Definitivamente sí,Francia,Jude Bellingham,Humor,2x1,Sí,Edición Con Tarjetas Coleccionables,Premium Alta,Casual,Adulto Mayor (55+)
1355,2026-02-06,21:33:25,45 - 54 Años,Masculino,Guatemala,Santa Catarina Pinula,Otro,1 A 2 Veces Por Semana,Kiosco escolar/universitario,Familia,Menos De Q25,CrunchMax BBQ; Mundialitos Queso Picante; Gol Nachos Supreme,Queso,Familiar,Q10 - Q15,Sí,Sí,Francia,Probablemente sí,Noruega,Cristiano Ronaldo; Harry Kane,Un jugador famoso,Sorteo de balones,Sí,Edición Argentina,Moderada,Fanático Target (Alto),Adulto Maduro (35-54)
1356,2026-02-26,14:12:19,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Otro,Varias Veces Al Mes,Tienda de barrio,Compañeros de trabajo,Q51 - Q100,Hot Stadium Peanuts; Gol Nachos Supreme; Fan Chips Jalapeño,Picante Chapín,Individual,Q21 - Q30,Sí,Sí,Portugal,Tal vez,Estados Unidos,Federico Valverde,Un jugador famoso,2x1,No,Edición España,Premium Alta,Espectador Pasivo,Adulto Joven (25-34)
1357,2026-01-10,21:15:46,35 - 44 Años,Masculino,Guatemala,Santa Catarina Pinula,Otro,1 A 2 Veces Por Semana,Tienda de barrio,Compañeros de trabajo,Q25 - Q50,Energy Crunch Protein; Mundialitos Queso Picante; FutbolMix,Caramelo,Tamaño Fiesta O Reunión,Q16 - Q20,Sí,Sí,Argentina,Probablemente sí,Brasil,Vinícius Júnior; Kylian Mbappé; Cristiano Ronaldo,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Con Jugadores Famosos,Moderada,Fanático Target (Alto),Adulto Maduro (35-54)
1358,2026-02-02,09:47:11,45 - 54 Años,Femenino,Guatemala,Mixco,Estudiante,Todos Los Días,Otro,Amigos,Más De Q150,Energy Crunch Protein; CrunchMax BBQ; Gol Nachos Supreme,Picante Chapín,Tamaño Fiesta O Reunión,Q21 - Q30,No,Sí,Argentina,Definitivamente sí,Inglaterra,Ninguno; Lionel Messi; Cristiano Ronaldo,Premios y sorteos,2x1,No,Edición Mundial Fifa 2026,Sensible Al Precio,Espectador Pasivo,Adulto Maduro (35-54)
1359,2026-02-12,20:54:18,45 - 54 Años,Femenino,Guatemala,Villa Nueva,Profesional Independiente,1 A 2 Veces Por Semana,Aplicación de delivery,Familia,Menos De Q25,Gol Nachos Supreme; Hot Stadium Peanuts,Limón,Familiar,Q16 - Q20,Sí,Sí, BRASIL ,Definitivamente sí,Alemania,Vinícius Júnior,Un jugador famoso,Producto gratis,Sí,Edición Con Tarjetas Coleccionables,Moderada,Casual,Adulto Maduro (35-54)
1360,2026-05-09,11:36:03,35 - 44 Años,Masculino,Guatemala,Santa Catarina Pinula,Estudiante,Varias Veces Al Mes,Kiosco escolar/universitario,Familia,Q25 - Q50,Fan Chips Jalapeño; ChocoKick Bites; Caramel Goal Popcorn,Chocolate,Para Compartir Entre 2 Personas,Menos De Q10,Sí,Sí,México,Definitivamente sí,Alemania,Lionel Messi; Julián Álvarez; Kylian Mbappé,Un jugador famoso,Sorteo de camisetas,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Maduro (35-54)
1361,2026-03-10,11:20:44,25 - 34 Años,Femenino,Escuintla,Escuintla,Empleado Privado,3 A 5 Veces Por Semana,Tienda de barrio,Familia,Q25 - Q50,Caramel Goal Popcorn,Picante Chapín,Para Compartir Entre 2 Personas,Q21 - Q30,Sí,Sí,Alemania,Probablemente sí,Senegal,Julián Álvarez; Ninguno,Un jugador famoso,Descuento directo,Sí,Edición Francia,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
1362,2026-05-04,15:13:25,18 - 24 Años,Femenino,Jalapa,Cabecera municipal,Empleado Privado,Rara Vez,Supermercado,Familia,Q25 - Q50,FutbolMix; Caramel Goal Popcorn,Limón,Para Compartir Entre 2 Personas,Q16 - Q20,No,Sí,Portugal,Tal vez,Alemania,Lamine Yamal; Julián Álvarez,Un jugador famoso,2x1,Sí,Edición España,Moderada,Casual,Jóvenes (<25)
1363,2026-02-20,22:51:53,18 - 24 Años,Masculino,Guatemala,Santa Catarina Pinula,Empleado Público,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,Victory Pretzels,Picante Chapín,Tamaño Fiesta O Reunión,Q10 - Q15,Sí,Sí,España,Probablemente no,Argentina,Lionel Messi; Federico Valverde; Harry Kane,Premios y sorteos,Sorteo de balones,Sí,Edición Francia,Moderada,Casual,Jóvenes (<25)
1364,2026-02-24,21:49:47,18 - 24 Años,Masculino,Quetzaltenango,Olintepeque,Ama De Casa,1 A 2 Veces Por Semana,Kiosco escolar/universitario,Familia,Q25 - Q50,CrunchMax BBQ; Fan Chips Jalapeño; FutbolMix,Caramelo,Familiar,Q10 - Q15,Sí,Sí,Argentina,Tal vez,España,Cristiano Ronaldo; Christian Pulisic; Jude Bellingham,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Argentina,Moderada,Casual,Jóvenes (<25)
1365,2026-04-17,09:59:36,35 - 44 Años,Femenino,Guatemala,Villa Nueva,Empleado Privado,1 A 2 Veces Por Semana,Supermercado,Solo,Q51 - Q100,Victory Pretzels,Barbacoa,Familiar,Q21 - Q30,Sí,Sí,Inglaterra,Probablemente sí,Colombia,Harry Kane; Lionel Messi; Cristiano Ronaldo,Premios y sorteos,2x1,Sí,Edición Con Jugadores Famosos,Premium Alta,Fanático Target (Alto),Adulto Maduro (35-54)
1366,2026-01-17,07:30:23,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Público,Varias Veces Al Mes,Otro,Familia,Q51 - Q100,Caramel Goal Popcorn,Queso,Familiar,Q16 - Q20,Sí,Sí,Alemania,Definitivamente sí,Argentina,Christian Pulisic; Vinícius Júnior; Neymar Jr.,Historias de aficionados,Tarjetas coleccionables,No,Edición Brasil,Premium Alta,Espectador Pasivo,Adulto Joven (25-34)
1367,2026-04-18,15:40:12,45 - 54 Años,Masculino,Escuintla, SANTA LUCÍA COTZUMALGUAPA ,Empleado Público,Rara Vez,Tienda de barrio,Amigos,Q101 - Q150,Gol Nachos Supreme,Salado Tradicional,Para Compartir Entre 2 Personas,Menos De Q10,Sí,Sí,Argentina,Definitivamente sí,España,Cristiano Ronaldo; Kylian Mbappé,Historias de aficionados,Descuento directo,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Maduro (35-54)
1368,2026-02-07,18:26:10,25 - 34 Años,Femenino,Guatemala,Villa Nueva,Empleado Privado,1 A 2 Veces Por Semana,Tienda de barrio,Familia,Q51 - Q100,CrunchMax BBQ; Energy Crunch Protein,Dulce,Para Compartir Entre 2 Personas,Q21 - Q30,No,Sí,Argentina,Tal vez,Portugal,Lamine Yamal; Cristiano Ronaldo,Una selección nacional,2x1,No,Edición España,Moderada,Espectador Pasivo,Adulto Joven (25-34)
1369,2026-02-21,14:14:12,25 - 34 Años,Masculino,Quetzaltenango,Coatepeque,Empleado Privado,Varias Veces Al Mes,Tienda de barrio,Solo,Q101 - Q150,Energy Crunch Protein,Queso,Familiar,Q10 - Q15,Sí,Sí,Argentina,Definitivamente sí,Argentina,Jude Bellingham,Una selección nacional,Sorteo de camisetas,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Joven (25-34)
1370,2026-03-17,09:18:09,25 - 34 Años,Masculino,Sacatepéquez,Antigua Guatemala,Otro,Varias Veces Al Mes,Aplicación de delivery,Amigos,Q25 - Q50,Caramel Goal Popcorn; Gol Nachos Supreme,Queso,Individual,Q16 - Q20,Sí,Sí, BRASIL ,Probablemente sí,México,Neymar Jr.,Una selección nacional,Descuento directo,Sí,Edición Argentina,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
1371,2026-04-17,14:51:59,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Empleado Privado,1 A 2 Veces Por Semana,Gasolinera,Amigos,Q51 - Q100,Gol Nachos Supreme; Hot Stadium Peanuts,Picante Chapín,Para Compartir Entre 2 Personas,Q10 - Q15,Sí,Sí,España,Definitivamente sí,Portugal,Lamine Yamal; Harry Kane; Lionel Messi,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Argentina,Premium Alta,Casual,Adulto Joven (25-34)
1372,2026-04-02,07:45:53,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Estudiante,1 A 2 Veces Por Semana,Supermercado,Amigos,Más De Q150,CrunchMax BBQ; Fan Chips Jalapeño; Caramel Goal Popcorn,Chocolate,Para Compartir Entre 2 Personas,Q10 - Q15,No,Sí,México,Probablemente sí,Argentina,Neymar Jr.; Vinícius Júnior,Un jugador famoso,2x1,No,Edición Inglaterra,Sensible Al Precio,Casual,Adulto Joven (25-34)
1373,2026-03-30,11:09:40,25 - 34 Años,Masculino,Quiché,Quiché,Comerciante,Varias Veces Al Mes,Supermercado,Amigos,Q25 - Q50,Mundialitos Queso Picante; ChocoKick Bites; Fan Chips Jalapeño,Chocolate,Para Compartir Entre 2 Personas,Q10 - Q15,No,No,Inglaterra,Probablemente sí,Australia,Rodri; Federico Valverde,Una selección nacional,Producto gratis,Sí,Edición Argentina,Moderada,Espectador Pasivo,Adulto Joven (25-34)
1374,2026-01-20,07:49:17,18 - 24 Años,Femenino,Sacatepéquez,Sumpango,Empleado Privado,1 A 2 Veces Por Semana,Gasolinera,Familia,Q51 - Q100,Mundialitos Queso Picante; Hot Stadium Peanuts; CrunchMax BBQ,Dulce,Individual,Q16 - Q20,Sí,Sí,Curaçao,Tal vez,Argentina,Kylian Mbappé,Premios y sorteos,Tarjetas coleccionables,Sí,Edición Con Tarjetas Coleccionables,Premium Alta,Casual,Jóvenes (<25)
1375,2026-02-17,20:08:07,25 - 34 Años,Femenino,Guatemala, SAN MIGUEL PETAPA ,Empleado Privado,Varias Veces Al Mes,Supermercado,Familia,Más De Q150,ChocoKick Bites; Victory Pretzels; Gol Nachos Supreme,Picante Chapín,Individual,Menos De Q10,No,Sí,Brasil,Definitivamente no,Brasil,Cristiano Ronaldo; Vinícius Júnior; Christian Pulisic,Un jugador famoso,Sorteo de camisetas,Sí,Edición Con Jugadores Famosos,Sensible Al Precio,Casual,Adulto Joven (25-34)
1376,2026-02-01,13:01:21,25 - 34 Años,Masculino,San Marcos,San Marcos,Profesional Independiente,1 A 2 Veces Por Semana,Supermercado,Familia,Q25 - Q50,Hot Stadium Peanuts; Gol Nachos Supreme; Victory Pretzels,Barbacoa,Para Compartir Entre 2 Personas,Q10 - Q15,Sí,Sí,Uruguay,Probablemente no,Brasil,Lionel Messi,Historias de aficionados,Sorteo de balones,Sí,Edición Brasil,Moderada,Casual,Adulto Joven (25-34)
1377,2026-01-31,10:44:39,Menos De 18 Años,Masculino,Guatemala,San Miguel Petapa,Profesional Independiente,3 A 5 Veces Por Semana,Aplicación de delivery,Solo,Q51 - Q100,Gol Nachos Supreme,Chocolate,Familiar,Menos De Q10,No,No,Inglaterra,Definitivamente sí,Curaçao,Neymar Jr.,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Argentina,Moderada,Espectador Pasivo,Jóvenes (<25)
1378,2026-01-14,13:25:14,35 - 44 Años,Masculino,Retalhuleu,Retalhuleu,Empleado Privado,Varias Veces Al Mes,Supermercado,Familia,Q51 - Q100,Caramel Goal Popcorn,Barbacoa,Para Compartir Entre 2 Personas,Q16 - Q20,Sí,Sí,Inglaterra,Probablemente no,Portugal,Kylian Mbappé,Humor,2x1,Sí,Edición Con Tarjetas Coleccionables,Premium Alta,Casual,Adulto Maduro (35-54)
1379,2026-01-21,20:49:46,45 - 54 Años,Femenino,Sacatepéquez,Jocotenango,Empleado Privado,Todos Los Días,Kiosco escolar/universitario,Compañeros de trabajo,Q25 - Q50,Energy Crunch Protein; Gol Nachos Supreme,Picante Chapín,Para Compartir Entre 2 Personas,Q16 - Q20,Sí,Sí,Brasil,Definitivamente sí,Argentina,Rodri; Kylian Mbappé; Federico Valverde,Humor,Descuento directo,No,Edición Con Jugadores Famosos,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
1380,2026-05-02,21:33:42,25 - 34 Años,Femenino,Baja Verapaz,Baja Verapaz,Empleado Público,1 A 2 Veces Por Semana,Aplicación de delivery,Amigos,Menos De Q25,Victory Pretzels,Barbacoa,Para Compartir Entre 2 Personas,Q10 - Q15,Sí,No,Brasil,Probablemente sí,Irán,Ninguno,Una selección nacional,2x1,No,Edición Francia,Moderada,Espectador Pasivo,Adulto Joven (25-34)
1381,2026-04-03,08:14:21,55 Años O Más,Prefiero No Indicarlo,Escuintla,Escuintla,Empleado Privado,Varias Veces Al Mes,Supermercado,Amigos,Q101 - Q150,Gol Nachos Supreme; FutbolMix; CrunchMax BBQ,Caramelo,Para Compartir Entre 2 Personas,Q21 - Q30,Sí,Sí,Argentina,Definitivamente sí,Francia,Kylian Mbappé,Historias de aficionados,Producto gratis,No,Edición Con Tarjetas Coleccionables,Moderada,Espectador Pasivo,Adulto Mayor (55+)
1382,2026-03-31,20:41:33,18 - 24 Años,Masculino,Quetzaltenango,Quetzaltenango,Empleado Privado,Todos Los Días,Tienda de barrio,Familia,Q25 - Q50,Fan Chips Jalapeño; Victory Pretzels; Gol Nachos Supreme,Caramelo,Familiar,Q10 - Q15,Sí,Sí,España,Probablemente sí,España,Lionel Messi; Kylian Mbappé,Un jugador famoso,Sorteo de camisetas,No,Edición Con Jugadores Famosos,Moderada,Casual,Jóvenes (<25)
1383,2026-05-09,19:29:25,45 - 54 Años,Femenino,Baja Verapaz,Otro municipio,Estudiante,Varias Veces Al Mes,Aplicación de delivery,Familia,Q51 - Q100,Mundialitos Queso Picante,Picante Chapín,Familiar,Q16 - Q20,Sí,No,Portugal,Definitivamente no,México,Neymar Jr.,Un jugador famoso,Descuento directo,Sí,Edición Mundial Fifa 2026,Premium Alta,Espectador Pasivo,Adulto Maduro (35-54)
1384,2026-04-23,10:27:40,25 - 34 Años,Femenino,Sacatepéquez,Ciudad Vieja,Empleado Privado,3 A 5 Veces Por Semana,Gasolinera,Familia,Q25 - Q50,CrunchMax BBQ; Caramel Goal Popcorn; Gol Nachos Supreme,Queso,Individual,Más De Q30,Sí,Sí,México,Tal vez,Canadá,Alphonso Davies,Un jugador famoso,2x1,Sí,Edición Inglaterra,Moderada,Casual,Adulto Joven (25-34)
1385,2026-03-15,13:16:21,35 - 44 Años,Masculino,Jutiapa,Jutiapa,Empleado Privado,Todos Los Días,Tienda de barrio,Familia,Q101 - Q150,CrunchMax BBQ,Jalapeño,Familiar,Q10 - Q15,Sí,No,México,Tal vez,Portugal,Lionel Messi; Cristiano Ronaldo,Humor,Producto gratis,Sí,Edición Inglaterra,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
1386,2026-05-09,07:14:16,35 - 44 Años,Femenino,Sololá,Sololá,Profesional Independiente,Rara Vez,Supermercado,Familia,Q51 - Q100,Gol Nachos Supreme; Fan Chips Jalapeño,Barbacoa,Para Compartir Entre 2 Personas,Q16 - Q20,No,Sí,Argentina,Definitivamente sí,Argentina,Lionel Messi; Lamine Yamal,Una selección nacional,Descuento directo,Sí,Edición Inglaterra,Moderada,Casual,Adulto Maduro (35-54)
1387,2026-04-21,18:19:44,18 - 24 Años,Femenino,Guatemala,Guatemala,Otro,Rara Vez,Kiosco escolar/universitario,Familia,Q51 - Q100,Fan Chips Jalapeño,Jalapeño,Individual,Q10 - Q15,No,Sí, ESPAÑA ,Definitivamente no,Francia,Lionel Messi,Una selección nacional,Descuento directo,Sí,Edición Francia,Moderada,Casual,Jóvenes (<25)
1388,2026-05-06,11:06:00,Menos De 18 Años,Femenino,Suchitepéquez,Otro municipio,Empresario,Todos Los Días,Supermercado,Amigos,Q51 - Q100,CrunchMax BBQ,Chocolate,Familiar,Q10 - Q15,Sí,Sí,Alemania,Tal vez,Brasil,Ninguno; Lionel Messi,Una selección nacional,Producto gratis,Sí,Edición Mundial Fifa 2026,Premium Alta,Casual,Jóvenes (<25)
1389,2026-01-14,09:36:03,45 - 54 Años,Masculino,Guatemala,Mixco,Empleado Privado,3 A 5 Veces Por Semana,Aplicación de delivery,Familia,Q51 - Q100,ChocoKick Bites; Caramel Goal Popcorn,Chocolate,Familiar,Q21 - Q30,No,Sí,España,Probablemente sí,Brasil,Cristiano Ronaldo,Un jugador famoso,Descuento directo,Sí,Edición Argentina,Moderada,Fanático Target (Alto),Adulto Maduro (35-54)
1390,2026-02-08,17:38:55,35 - 44 Años,Femenino,Guatemala,Villa Nueva,Estudiante,1 A 2 Veces Por Semana,Supermercado,Solo,Q25 - Q50,Mundialitos Queso Picante; Caramel Goal Popcorn; Gol Nachos Supreme,Limón,Individual,Q21 - Q30,Sí,Sí,Argentina,Tal vez,Colombia,Cristiano Ronaldo; Neymar Jr.,Un jugador famoso,Producto gratis,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Maduro (35-54)
1391,2026-03-23,22:34:51,45 - 54 Años,Femenino,Sololá,Cabecera municipal,Empleado Privado,Todos Los Días,Tienda de barrio,Amigos,Q51 - Q100,ChocoKick Bites; Mundialitos Queso Picante,Queso,Familiar,Q16 - Q20,Sí,Sí,Uzbekistán,Tal vez,México,Lionel Messi; Cristiano Ronaldo,Una selección nacional,Producto gratis,Sí,Edición Con Jugadores Famosos,Premium Alta,Casual,Adulto Maduro (35-54)
1392,2026-01-24,16:13:26,25 - 34 Años,Femenino,Guatemala,Mixco,Empleado Público,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,Energy Crunch Protein; FutbolMix,Dulce,Familiar,Q10 - Q15,No,Sí,Inglaterra,Tal vez,Brasil,Kylian Mbappé; Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición Mundial Fifa 2026,Moderada,Casual,Adulto Joven (25-34)
1393,2026-01-13,15:44:30,Menos De 18 Años,Prefiero No Indicarlo,Guatemala, SANTA CATARINA PINULA ,Profesional Independiente,1 A 2 Veces Por Semana,Otro,Familia,Q101 - Q150,ChocoKick Bites,Limón,Familiar,Q10 - Q15,Sí,Sí,Brasil,Tal vez,Inglaterra,Vinícius Júnior; Julián Álvarez,Un jugador famoso,Sorteo de viajes,Sí,Edición Argentina,Moderada,Casual,Jóvenes (<25)
1394,2026-05-05,20:21:46,Menos De 18 Años,Masculino,Chimaltenango,Patzún,Otro,3 A 5 Veces Por Semana,Kiosco escolar/universitario,Amigos,Q51 - Q100,Mundialitos Queso Picante; Gol Nachos Supreme; FutbolMix,Dulce,Familiar,Menos De Q10,No,Sí,Portugal,Definitivamente sí,México,Cristiano Ronaldo; Julián Álvarez,Un jugador famoso,Producto gratis,Sí,Edición Con Tarjetas Coleccionables,Moderada,Casual,Jóvenes (<25)
1395,2026-03-25,09:27:22,18 - 24 Años,Femenino,Retalhuleu,Otro municipio,Empleado Privado,1 A 2 Veces Por Semana,Tienda de barrio,Amigos,Q25 - Q50,Caramel Goal Popcorn,Picante Chapín,Individual,Q16 - Q20,Sí,Sí,España,Tal vez,México,Julián Álvarez; Lamine Yamal,Premios y sorteos,2x1,No,Edición Con Jugadores Famosos,Moderada,Espectador Pasivo,Jóvenes (<25)
1396,2026-03-20,09:09:57,45 - 54 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Público,3 A 5 Veces Por Semana,Aplicación de delivery,Familia,Más De Q150,Hot Stadium Peanuts; Fan Chips Jalapeño; Gol Nachos Supreme,Salado Tradicional,Familiar,Q21 - Q30,No,Sí,Francia,Tal vez,Brasil,Kylian Mbappé,Premios y sorteos,Sorteo de viajes,Sí,Edición España,Sensible Al Precio,Casual,Adulto Maduro (35-54)
1397,2026-03-11,19:46:13,25 - 34 Años,Masculino,Suchitepéquez,Cabecera municipal,Profesional Independiente,Todos Los Días,Aplicación de delivery,Solo,Q101 - Q150,Victory Pretzels; CrunchMax BBQ,Picante Chapín,Individual,Q10 - Q15,Sí,Sí,España,Definitivamente sí,México,Cristiano Ronaldo; Kylian Mbappé,Historias de aficionados,Descuento directo,Sí,Edición Brasil,Moderada,Casual,Adulto Joven (25-34)
1398,2026-03-25,20:01:45,18 - 24 Años,Masculino,Guatemala,Guatemala,Estudiante,3 A 5 Veces Por Semana,Tienda de barrio,Compañeros de trabajo,Q25 - Q50,Hot Stadium Peanuts,Queso,Individual,Q16 - Q20,No,Sí,Argentina,Definitivamente sí,Portugal,Lionel Messi,Un jugador famoso,2x1,Sí,Edición Brasil,Moderada,Casual,Jóvenes (<25)
1399,2026-02-23,07:12:33,18 - 24 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado,3 A 5 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,Caramel Goal Popcorn; ChocoKick Bites,Barbacoa,Tamaño Fiesta O Reunión,Q21 - Q30,Sí,Sí,España,Probablemente sí,Francia,Vinícius Júnior; Cristiano Ronaldo; Neymar Jr.,Una selección nacional,Tarjetas coleccionables,No,Edición Con Tarjetas Coleccionables,Moderada,Casual,Jóvenes (<25)
1400,2026-04-18,08:05:58,Menos De 18 Años,Femenino,Quetzaltenango,Coatepeque,Comerciante,3 A 5 Veces Por Semana,Supermercado,Familia,Q51 - Q100,CrunchMax BBQ,Barbacoa,Familiar,Q10 - Q15,Sí,Sí,Argentina,Tal vez,Uruguay,Cristiano Ronaldo,Una selección nacional,2x1,No,Edición Con Jugadores Famosos,Premium Alta,Espectador Pasivo,Jóvenes (<25)
1401,2026-01-14,17:34:00,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Comerciante,Rara Vez,Supermercado,Amigos,Q51 - Q100,Gol Nachos Supreme; Energy Crunch Protein,Picante Chapín,Familiar,Q10 - Q15,No,Sí,Estados Unidos,Probablemente sí,Estados Unidos,Alphonso Davies; Cristiano Ronaldo,Premios y sorteos,Sorteo de balones,Sí,Edición Argentina,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
1402,2026-01-10,13:54:21,35 - 44 Años,Femenino,Guatemala,Guatemala,Ama De Casa,Todos Los Días,Aplicación de delivery,Amigos,Q51 - Q100,Hot Stadium Peanuts; FutbolMix; Fan Chips Jalapeño,Jalapeño,Individual,Q10 - Q15,Sí,Sí,Curaçao,Definitivamente sí,Brasil,Jude Bellingham; Ninguno; Cristiano Ronaldo,Premios y sorteos,Sorteo de camisetas,No,Edición Francia,Premium Alta,Espectador Pasivo,Adulto Maduro (35-54)
1403,2026-05-06,14:33:00,18 - 24 Años,Masculino,Guatemala,Villa Nueva,Ama De Casa,Rara Vez,Tienda de barrio,Solo,Menos De Q25,FutbolMix,Picante Chapín,Familiar,Q16 - Q20,No,Sí,Argentina,Probablemente sí,Estados Unidos,Alphonso Davies; Lionel Messi,Un jugador famoso,Sorteo de viajes,Sí,Edición Francia,Sensible Al Precio,Fanático Target (Alto),Jóvenes (<25)
1404,2026-01-20,16:12:43,35 - 44 Años,Femenino,Chimaltenango,Tecpán Guatemala,Empleado Privado,3 A 5 Veces Por Semana,Tienda de barrio,Amigos,Menos De Q25,CrunchMax BBQ,Queso,Familiar,Q10 - Q15,Sí,Sí,Portugal,Probablemente sí,Argentina,Lionel Messi,Un jugador famoso,Descuento directo,No,Edición Con Tarjetas Coleccionables,Moderada,Casual,Adulto Maduro (35-54)
1405,2026-05-09,15:28:28,Menos De 18 Años,Femenino,San Marcos,Otro municipio,Empleado Privado,3 A 5 Veces Por Semana,Aplicación de delivery,Familia,Q51 - Q100,ChocoKick Bites; Mundialitos Queso Picante,Salado Tradicional,Para Compartir Entre 2 Personas,Q21 - Q30,No,Sí,Francia,Probablemente sí,Portugal,Kylian Mbappé; Rodri,Premios y sorteos,Producto gratis,Sí,Edición Argentina,Moderada,Fanático Target (Alto),Jóvenes (<25)
1406,2026-02-01,16:09:29,35 - 44 Años,Masculino,Guatemala,Mixco,Estudiante,3 A 5 Veces Por Semana,Tienda de barrio,Amigos,Q25 - Q50,CrunchMax BBQ,Limón,Familiar,Q16 - Q20,Sí,Sí,Inglaterra,Probablemente no,España,Cristiano Ronaldo; Lionel Messi,Una selección nacional,2x1,No,Edición Mundial Fifa 2026,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
1407,2026-04-19,20:47:35,35 - 44 Años,Femenino,Guatemala,Santa Catarina Pinula,Comerciante,1 A 2 Veces Por Semana,Otro,Familia,Q25 - Q50,Gol Nachos Supreme; Victory Pretzels,Dulce,Individual,Q10 - Q15,No,Sí,Francia,Tal vez,Brasil,Cristiano Ronaldo; Neymar Jr.; Vinícius Júnior,Historias de aficionados,2x1,No,Edición Con Tarjetas Coleccionables,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
1408,2026-01-20,07:00:43,35 - 44 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado,1 A 2 Veces Por Semana,,Amigos,Q25 - Q50,Victory Pretzels; Energy Crunch Protein; Gol Nachos Supreme,Jalapeño,Para Compartir Entre 2 Personas,Más De Q30,Sí,Sí,Argentina,Probablemente sí,Argentina,Cristiano Ronaldo; Lionel Messi; Neymar Jr.,Un jugador famoso,Sorteo de viajes,Sí,Edición Con Tarjetas Coleccionables,Moderada,Fanático Target (Alto),Adulto Maduro (35-54)
1409,2026-02-10,19:43:00,25 - 34 Años,Femenino,Escuintla,Palín,Empleado Privado,Varias Veces Al Mes,Tienda de barrio,Amigos,Q51 - Q100,Energy Crunch Protein,Barbacoa,Familiar,Q10 - Q15,No,Sí,Marruecos,Probablemente no,Francia,Lamine Yamal,Una selección nacional,Producto gratis,Sí,Edición Mundial Fifa 2026,Moderada,Casual,Adulto Joven (25-34)
1410,2026-03-06,17:59:31,18 - 24 Años,Masculino,Sacatepéquez,Jocotenango,Estudiante,Todos Los Días,Supermercado,Solo,Q51 - Q100,Gol Nachos Supreme; Energy Crunch Protein,Caramelo,Tamaño Fiesta O Reunión,Q16 - Q20,No,Sí,Suecia,Probablemente sí,España,Cristiano Ronaldo; Neymar Jr.,Un jugador famoso,2x1,Sí,Edición Argentina,Moderada,Fanático Target (Alto),Jóvenes (<25)
1411,2026-01-19,11:29:24,18 - 24 Años,Prefiero No Indicarlo,Huehuetenango,Huehuetenango,Empleado Privado,Rara Vez,Tienda de barrio,Amigos,Q25 - Q50,Mundialitos Queso Picante; Gol Nachos Supreme,Jalapeño,Familiar,Q16 - Q20,Sí,Sí,Austria,Definitivamente sí,Francia,Harry Kane,Una selección nacional,Sorteo de camisetas,No,Edición Brasil,Moderada,Espectador Pasivo,Jóvenes (<25)
1412,2026-01-21,10:38:27,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Ama De Casa,Todos Los Días,Supermercado,Amigos,Q101 - Q150,Mundialitos Queso Picante,Barbacoa,Para Compartir Entre 2 Personas,Q16 - Q20,Sí,Sí,Inglaterra,Probablemente sí,México,Jude Bellingham; Federico Valverde,Premios y sorteos,Tarjetas coleccionables,Sí,Edición Inglaterra,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
